msg_par;level;msg_text
1;NOTIFY;начата инициализация модуля
2;NOTIFY;инициализация успешно завершена
3;NOTIFY;инициализация прервана, модуль остановлен
11;NOTIFY;начата плановая остановка модуля
12;NOTIFY;остановка модуля успешно завершена
13;NOTIFY;остановка модуля завершена в аварийном режиме (по запросу)
14;NOTIFY;остановка модуля прервана
15;NOTIFY;аварийная остановка модуля (без запроса)
16;NOTIFY;освобождение ресурсов модуля
17;NOTIFY;получен сигнал
21;NOTIFY;начато конфигурирование модуля
22;NOTIFY;конфигурирование модуля успешно завершено
23;NOTIFY;конфигурирование модуля прервано с возвратом к предыдущей конфигурации
24;NOTIFY;конфигурирование модуля прервано с использованием актуальной конфигурации
31;NOTIFY;модуль переведен в режим обслуживания
32;NOTIFY;модуль выведен из режима обслуживания
33;NOTIFY;модуль не выведенен из режима обслуживания
41;NOTIFY;получено задание ППК по постановке на контроль
42;NOTIFY;получено задание ППК по снятию с контроля
43;NOTIFY;выполнен запрос списка заданий с ППК
44;NOTIFY;получен элемент списка заданий с ППК
45;NOTIFY;задание ППК успешно выполнено
46;NOTIFY;задание ППК выполнено с ошибкой
47;NOTIFY;список заданий с ППК успешно прочитан
48;NOTIFY;список заданий с ППК прерван по инициативе ППК
49;NOTIFY;список заданий с ППК прерван по инициативе модуля
50;NOTIFY;создание нового сеанса
51;NOTIFY;получена команда ПТО
52;NOTIFY;команда ПТО выполнена успешно
53;NOTIFY;выполнение команды ПТО отвергнуто модулем
54;NOTIFY;команда ПТО выполнена с ошибкой
61;NOTIFY;предупреждение от канала связи с удаленным устройством
62;NOTIFY;критическая ошибка канала связи с удаленным устройством
71;NOTIFY;информационное сообщение от удаленного устройства
72;NOTIFY;предупреждение от удаленного устройства
73;NOTIFY;критическая ошибка на удаленном устройстве
81;NOTIFY;копирование файла выполнено успешно
82;NOTIFY;копирование директории выполнено успешно
83;NOTIFY;файл успешно удален
84;NOTIFY;директория успешно удалена
85;NOTIFY;все файлы журнала старше указанной даты успешно удалены
86;NOTIFY;перемещение файла выполнено успешно
87;NOTIFY;перемещение директории выполнено успешно
91;NOTIFY;инициализация транспортной точки выполнена успешно
92;NOTIFY;запуск транпортной точки выполнен успешно
93;NOTIFY;останов транспортной точки выполнен успешно
94;NOTIFY;инициализация пула потоков выполнена успешно
101;NOTIFY;получен пакет данных
102;NOTIFY;получен неизвестный пакет данных
103;NOTIFY;пакет данных помещен в буфер
104;NOTIFY;получено широковещательное сообщение
105;NOTIFY;пакет данных отправлен
106;NOTIFY;выполнена пересылка пакета данных
107;NOTIFY;освобождение памяти пакета
